"00740",18.33,-65.63,"PUERTO REAL","PUERTO RICO","PR"
"00741",18.16,-65.75,"PUNTA SANTIAGO","PUERTO RICO","PR"
"00742",18.26,-65.59,"ROOSEVELT ROADS","PUERTO RICO","PR"
"00744",18.20,-65.74,"RIO BLANCO","PUERTO RICO","PR"
"00745",18.36,-65.81,"RIO GRANDE","PUERTO RICO","PR"
"00751",17.99,-66.26,"SALINAS","PUERTO RICO","PR"
"00754",18.18,-65.96,"SAN LORENZO","PUERTO RICO","PR"
"00757",17.99,-66.39,"SANTA ISABEL","PUERTO RICO","PR"
"00765",18.12,-65.46,"VIEQUES","PUERTO RICO","PR"
"00766",18.12,-66.49,"VILLALBA","PUERTO RICO","PR"
"00767",18.04,-65.88,"YABUCOA","PUERTO RICO","PR"
"00769",18.09,-66.35,"COAMO","PUERTO RICO","PR"
"00771",18.19,-65.87,"LAS PIEDRAS","PUERTO RICO","PR"
"00772",18.44,-65.89,"LOIZA","PUERTO RICO","PR"
"00773",18.36,-65.70,"LUQUILLO","PUERTO RICO","PR"
"00775",18.32,-65.29,"CULEBRA","PUERTO RICO","PR"
"00777",18.20,-65.90,"JUNCOS","PUERTO RICO","PR"
"00778",18.25,-65.97,"GURABO","PUERTO RICO","PR"
"00780",18.00,-66.60,"COTO LAUREL","PUERTO RICO","PR"
"00782",18.22,-66.21,"COMERIO","PUERTO RICO","PR"
"00783",18.30,-66.33,"COROZAL","PUERTO RICO","PR"
"00784",17.99,-66.13,"GUAYAMA","PUERTO RICO","PR"
"00785",18.01,-66.79,"GUAYAMA","PUERTO RICO","PR"
"00786",18.12,-66.26,"LA PLATA","PUERTO RICO","PR"
"00791",18.13,-65.78,"HUMACAO","PUERTO RICO","PR"
"00792",18.13,-65.78,"HUMACAO","PUERTO RICO","PR"
"00794",18.20,-66.30,"BARRANQUITAS","PUERTO RICO","PR"
"00795",17.99,-66.49,"JUANA DIAZ","PUERTO RICO","PR"
"00801",18.32,-64.96,"ST THOMAS","VIRGIN ISLANDS","VI"
"00802",18.32,-64.96,"ST THOMAS","VIRGIN ISLANDS","VI"
"00803",18.32,-64.96,"ST THOMAS","VIRGIN ISLANDS","VI"
"00804",18.32,-64.96,"ST THOMAS","VIRGIN ISLANDS","VI"
"00805",18.32,-64.96,"ST THOMAS","VIRGIN ISLANDS","VI"
"00820",17.73,-64.73,"CHRISTIANSTED","VIRGIN ISLANDS","VI"
"00821",17.73,-64.73,"CHRISTIANSTED","VIRGIN ISLANDS","VI"
"00822",17.73,-64.73,"CHRISTIANSTED","VIRGIN ISLANDS","VI"
"00823",17.73,-64.73,"CHRISTIANSTED","VIRGIN ISLANDS","VI"
"00824",17.73,-64.73,"CHRISTIANSTED","VIRGIN ISLANDS","VI"
"00830",18.32,-64.74,"ST JOHN","VIRGIN ISLANDS","VI"
"00831",18.32,-64.74,"ST JOHN","VIRGIN ISLANDS","VI"
"00840",17.73,-64.73,"FREDERIKSTED","VIRGIN ISLANDS","VI"
"00841",17.73,-64.73,"FREDERIKSTED","VIRGIN ISLANDS","VI"
"00850",17.73,-64.73,"KINGSHILL","VIRGIN ISLANDS","VI"
"00851",17.73,-64.73,"KINGSHILL","VIRGIN ISLANDS","VI"
"00901",18.46,-66.10,"SAN JUAN","PUERTO RICO","PR"
"00902",18.41,-66.06,"SAN JUAN","PUERTO RICO","PR"
"00906",18.41,-66.06,"SAN JUAN","PUERTO RICO","PR"
"00907",18.45,-66.07,"SAN JUAN","PUERTO RICO","PR"
"00908",18.41,-66.06,"SAN JUAN","PUERTO RICO","PR"
"00909",18.44,-66.06,"SAN JUAN","PUERTO RICO","PR"
"00910",18.41,-66.06,"SAN JUAN","PUERTO RICO","PR"
"00911",18.45,-66.05,"SAN JUAN","PUERTO RICO","PR"
"00912",18.44,-66.05,"SAN JUAN","PUERTO RICO","PR"
"00913",18.45,-66.04,"SAN JUAN","PUERTO RICO","PR"
"00914",18.41,-66.06,"SAN JUAN","PUERTO RICO","PR"
"00915",18.43,-66.04,"SAN JUAN","PUERTO RICO","PR"
"00916",18.41,-66.06,"SAN JUAN","PUERTO RICO","PR"
"00917",18.42,-66.05,"SAN JUAN","PUERTO RICO","PR"
"00918",18.41,-66.06,"SAN JUAN","PUERTO RICO","PR"
"00919",18.41,-66.06,"SAN JUAN","PUERTO RICO","PR"
"00920",18.40,-66.09,"SAN JUAN","PUERTO RICO","PR"
